time	Light
13:29	159
13:29	160
13:30	151
13:30	160
13:30	160
13:30	161
13:30	160
13:31	162
13:31	163
13:31	165
13:31	166
13:31	168
13:32	166
13:32	167
13:32	164
13:32	159
13:32	156
13:33	155
13:33	152
13:33	151
13:33	152
13:34	158
13:34	155
13:34	148
13:34	151
13:34	155
13:35	158
13:35	171
13:35	185
13:35	176
13:35	180
13:36	184
13:36	185
13:36	186
13:36	182
13:36	184
13:36	179
13:37	177
13:37	176
13:37	169
13:37	163
13:37	163
13:38	155
13:38	159
13:38	150
13:38	153
13:38	154
13:39	155
13:39	153
13:39	153
13:39	152
13:39	152
13:40	154
13:40	155
13:40	152
13:40	155
13:40	152
13:41	151
13:41	161
13:41	151
13:41	148
13:41	149
13:42	150
13:42	151
13:42	145
13:42	145
13:42	150
13:43	152
13:43	156
13:43	153
13:43	153
13:43	168
13:44	169
13:44	176
13:44	175
13:44	173
13:44	170
13:44	161
13:45	150
13:45	156
13:45	156
13:45	155
13:45	161
13:46	156
13:46	154
13:46	174
13:46	180
13:46	178
13:47	171
13:47	163
13:47	157
13:47	164
13:47	143
13:48	132
13:48	123
13:48	121
13:48	117
13:48	115
13:49	136
13:49	139
13:49	160
13:49	153
13:49	153
13:50	160
13:50	165
13:50	165
13:50	159
13:50	156
13:51	158
13:51	166
13:51	170
13:51	172
13:51	176
13:52	172
13:52	167
13:52	135
13:52	143
13:52	161
13:52	162
13:53	161
13:53	143
13:53	154
13:53	154
13:53	168
13:54	171
13:54	171
13:54	172
13:54	167
13:54	163
13:55	172
13:55	168
13:55	164
13:55	166
13:55	159
13:56	159
13:56	143
13:56	150
13:56	146
13:56	148
13:57	138
13:57	149
13:57	162
13:57	150
13:57	168
13:58	155
13:58	159
13:58	148
13:58	160
13:58	152
13:59	160
13:59	156
13:59	160
13:59	158
13:59	148
14:00	148
14:00	155
14:00	157
14:00	165
14:00	162
14:01	161
14:01	151
14:01	161
14:01	152
14:01	150
14:01	155
14:02	160
14:02	149
14:02	159
14:02	156
14:02	160
14:03	160
14:03	161
14:03	160
14:03	160
14:03	161
14:04	161
14:04	160
14:04	159
14:04	161
14:04	161
14:05	161
14:05	158
14:05	162
14:05	147
14:05	150
14:06	152
14:06	158
14:06	159
14:06	155
14:06	156
14:07	162
14:07	167
14:07	167
14:07	166
14:07	167
14:08	167
14:08	166
14:08	167
14:08	167
14:08	167
14:09	164
14:09	162
14:09	160
14:09	164
14:09	156
14:09	158
14:10	156
14:10	161
14:10	162
14:10	161
14:10	166
14:11	164
14:11	148
14:11	151
14:11	165
14:11	163
14:12	144
14:12	144
14:12	162
14:12	159
14:12	162
14:13	163
14:13	159
14:13	160
14:13	158
14:13	165
14:14	168
14:14	170
14:14	167
14:14	161
14:14	157
14:15	157
14:15	156
14:15	140
14:15	150
14:15	161
14:16	167
14:16	168
14:16	171
14:16	175
14:16	178
14:17	177
14:17	176
14:17	178
14:17	173
14:17	166
14:17	173
14:18	176
14:18	173
14:18	175
14:18	173
14:18	169
14:19	171
14:19	171
14:19	169
14:19	152
14:19	168
14:20	170
14:20	176
14:20	166
14:20	172
14:20	158
14:21	160
14:21	176
14:21	171
14:21	176
14:21	174
14:22	174
14:22	177
14:22	173
14:22	165
14:22	154
14:23	152
14:23	148
14:23	153
14:23	161
14:23	171
14:24	166
14:24	170
14:24	174
14:24	179
14:24	176
14:25	174
14:25	178
14:25	183
14:25	185
14:25	175
14:26	186
14:28	198
14:30	206
14:32	168
14:32	177
14:32	176
14:32	129
14:33	109
14:33	133
14:33	113
14:33	110
14:33	109
14:34	107
14:34	108
14:34	107
14:34	96
14:34	107
14:34	103
14:35	101
14:35	102
14:35	114
14:35	103
14:35	105
14:36	123
14:36	125
14:36	127
14:36	214
14:36	215
14:37	247
14:37	221
14:37	231
14:37	234
14:37	255
14:38	259
14:38	261
14:38	263
14:38	250
14:38	247
14:39	219
14:39	261
14:39	261
14:39	256
14:39	251
14:40	148
14:40	144
14:40	146
14:40	148
14:40	146
14:41	147
14:41	156
14:41	164
14:41	233
14:41	172
14:42	174
14:42	225
14:42	191
14:42	166
14:42	162
14:42	162
14:43	166
14:43	180
14:43	193
14:43	215
14:43	187
14:44	226
14:44	200
14:44	190
14:44	152
14:44	245
14:45	252
14:45	269
14:45	284
14:45	286
14:45	280
14:46	269
14:46	260
14:46	268
14:46	266
14:46	217
14:47	152
14:47	132
14:47	125
14:47	156
14:47	167
14:48	241
14:48	273
14:48	276
14:48	222
14:48	269
14:49	260
14:49	158
14:49	184
14:49	190
14:49	286
14:50	225
14:50	164
14:50	221
14:50	249
14:50	168
14:51	145
14:51	154
14:51	133
14:51	131
14:51	158
14:51	193
14:52	265
14:52	313
14:52	290
14:52	217
14:52	247
14:53	304
14:53	284
14:53	168
14:53	173
14:53	163
14:54	163
14:54	304
14:54	304
14:54	239
14:54	300
14:55	236
14:55	295
14:55	216
14:55	256
14:55	281
14:56	168
14:56	254
14:56	286
14:56	285
14:56	229
14:57	307
14:57	297
14:57	314
14:57	268
14:57	311
14:58	289
14:58	200
14:58	277
14:58	228
14:58	169
14:59	314
14:59	147
14:59	160
14:59	255
14:59	184
14:59	178
15:00	181
15:00	199
15:00	188
15:00	316
15:00	293
15:01	277
15:01	250
15:01	167
15:01	241
15:01	304
15:02	223
15:02	175
15:02	168
15:02	161
15:02	166
15:03	147
15:03	145
15:03	161
15:03	321
15:03	194
15:04	164
15:04	172
15:04	324
15:04	207
15:04	321
15:05	330
15:05	293
15:05	222
15:05	282
15:05	173
15:06	170
15:06	185
15:06	179
15:06	202
15:06	348
15:07	192
15:07	186
15:07	227
15:07	266
15:07	246
15:07	186
15:08	319
15:08	167
15:08	192
15:08	213
15:08	197
15:09	191
15:09	197
15:09	195
15:09	216
15:09	243
15:10	196
15:10	195
15:10	189
15:10	189
15:10	192
15:11	230
15:11	279
15:11	341
15:11	278
15:11	194
15:12	190
15:12	251
15:12	278
15:12	222
15:12	251
15:13	209
15:13	223
15:13	184
15:13	152
15:13	182
15:14	181
15:14	185
15:14	151
15:14	195
15:14	211
15:15	199
15:15	202
15:15	214
15:15	211
15:15	324
15:16	265
15:16	305
15:16	296
15:16	234
15:16	207
15:16	212
15:17	187
15:17	181
15:17	172
15:17	148
15:17	164
15:18	170
15:18	174
15:18	155
15:18	181
15:18	191
15:19	202
15:19	195
15:19	172
15:19	177
15:19	175
15:20	196
15:20	174
15:20	177
15:20	142
15:21	167
15:21	191
15:21	236
15:21	308
15:21	282
15:22	206
15:22	346
15:22	356
15:22	324
15:22	339
15:23	182
15:23	165
15:23	161
15:23	181
15:23	313
15:24	206
15:24	186
15:24	156
15:24	154
15:24	172
15:24	183
15:25	188
15:25	192
15:25	300
15:25	188
15:25	170
15:26	115
15:26	118
15:26	115
15:26	114
15:26	119
15:27	112
15:27	98
15:27	108
15:27	111
15:27	147
15:28	132
15:28	125
15:28	108
15:28	117
15:28	199
15:29	286
15:29	290
15:29	273
15:29	221
15:29	274
15:30	282
15:30	159
15:30	186
15:30	138
15:30	269
15:31	236
15:31	132
15:31	119
15:31	103
15:31	104
15:32	101
15:32	98
15:32	95
15:32	93
15:32	82
15:32	88
15:33	85
15:33	85
15:33	77
15:33	81
15:33	82
15:34	80
15:34	81
15:34	79
15:34	75
15:34	77
15:35	76
15:35	75
15:35	77
15:35	83
15:35	75
15:36	71
15:36	75
15:36	76
15:36	76
15:36	75
15:37	75
15:37	72
15:37	68
15:37	76
15:37	77
15:38	75
15:38	77
15:38	76
15:38	74
15:38	77
15:39	77
15:39	68
15:39	75
15:39	79
15:39	82
15:40	80
15:40	79
15:40	82
15:40	81
15:40	81
15:41	82
15:41	82
15:41	82
15:41	83
15:41	83
15:41	82
15:42	81
15:42	85
15:42	85
15:42	86
15:42	85
15:43	87
15:43	88
15:43	89
15:43	90
15:43	92
15:44	92
15:44	93
15:44	89
15:44	93
15:44	100
15:45	95
15:45	96
15:45	99
15:45	99
15:45	101
15:46	104
15:46	106
15:46	107
15:46	108
15:46	109
15:47	111
15:47	107
15:47	113
15:47	108
15:47	114
15:48	117
15:48	114
15:48	114
15:48	113
15:48	114
15:49	113
15:49	112
15:49	114
15:49	114
15:49	114
15:49	113
15:50	113
15:50	112
15:50	112
15:50	112
15:50	112
15:51	109
15:51	110
15:51	109
15:51	107
15:51	106
15:52	107
15:52	104
15:52	105
15:52	103
15:52	102
15:53	101
15:53	101
15:53	101
15:53	101
15:53	100
15:54	99
15:54	98
15:54	97
15:54	80
15:54	93
15:55	93
15:55	88
15:55	93
15:55	94
15:55	94
15:56	95
15:56	97
15:56	100
15:56	100
15:56	102
15:57	102
15:57	104
15:57	102
15:57	105
15:57	106
15:57	107
15:58	111
15:58	111
15:58	114
15:58	113
15:58	115
15:59	117
15:59	120
15:59	121
15:59	125
15:59	127
16:00	128
16:00	132
16:00	134
16:00	137
16:00	138
16:01	139
16:01	139
16:01	139
16:01	140
16:01	141
16:02	142
16:02	142
16:02	144
16:02	145
16:02	145
16:03	131
16:03	136
16:03	125
16:03	148
16:03	152
16:04	153
16:04	145
16:04	156
16:04	128
16:04	127
16:05	120
16:05	149
16:05	151
16:05	149
16:05	144
16:06	126
16:06	141
16:06	154
16:06	154
16:06	153
16:06	155
16:07	158
16:07	165
16:07	197
16:07	185
16:07	185
16:08	181
16:08	174
16:08	173
16:08	176
16:08	177
16:09	175
16:09	177
16:09	176
16:09	182
16:09	282
16:10	195
16:10	194
16:10	183
16:10	179
16:10	177
16:11	178
16:11	179
16:11	178
16:11	177
16:11	176
16:12	174
16:12	174
16:12	175
16:12	176
16:12	180
16:13	188
16:13	338
16:13	417
16:13	419
16:13	416
16:14	424
16:14	422
16:14	418
16:14	425
16:14	344
16:14	317
16:15	265
16:15	231
16:15	195
16:15	192
16:15	190
16:16	196
16:16	347
16:16	414
16:16	196
16:16	173
16:17	165
16:17	170
16:17	177
16:17	159
16:17	153
16:18	151
16:18	153
16:18	156
16:18	169
16:18	176
16:19	154
16:19	148
16:19	151
16:19	142
16:19	137
16:20	137
16:20	134
16:20	131
16:20	137
16:20	130
16:21	131
16:21	135
16:21	146
16:21	154
16:21	237
16:22	150
16:22	225
16:22	394
16:22	301
16:22	157
16:22	137
16:23	132
16:23	126
16:23	123
16:23	119
16:23	117
16:24	115
16:24	112
16:24	110
16:24	109
16:24	118
16:25	110
16:25	109
16:25	111
16:25	114
16:25	117
16:26	123
16:26	132
16:26	224
16:26	138
16:26	132
16:27	132
16:27	135
16:27	139
16:27	141
16:27	136
16:28	134
16:28	131
16:28	128
16:28	128
16:28	126
16:29	127
16:29	127
